<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDRUB;60;20150106;130000;60.0054000
USDRUB;60;20150106;140000;61.3989000
USDRUB;60;20150106;150000;62.4156000
USDRUB;60;20150106;160000;63.5358000
USDRUB;60;20150106;170000;63.4591000
USDRUB;60;20150106;180000;62.5248000
USDRUB;60;20150106;190000;62.6095000
USDRUB;60;20150106;200000;62.9564000
USDRUB;60;20150106;210000;62.9937000
USDRUB;60;20150106;220000;61.4164000
USDRUB;60;20150106;230000;62.2209000
USDRUB;60;20150107;000000;63.0205000
USDRUB;60;20150107;010000;63.1114000
USDRUB;60;20150107;020000;62.9320000
USDRUB;60;20150107;030000;62.3742000
USDRUB;60;20150107;040000;61.6356000
USDRUB;60;20150107;050000;62.4074000
USDRUB;60;20150107;060000;62.3214000
USDRUB;60;20150107;090000;63.1615000
USDRUB;60;20150107;100000;63.1650000
USDRUB;60;20150107;110000;63.1650000
USDRUB;60;20150107;120000;63.7490000
USDRUB;60;20150107;130000;62.7577000
USDRUB;60;20150107;140000;63.5903000
USDRUB;60;20150107;150000;63.3275000
USDRUB;60;20150107;160000;63.0595000
USDRUB;60;20150107;170000;62.0741000
USDRUB;60;20150107;180000;62.9036000
USDRUB;60;20150107;190000;63.4954000
USDRUB;60;20150107;200000;62.9500000
USDRUB;60;20150107;210000;62.8227000
USDRUB;60;20150107;220000;62.5814000
USDRUB;60;20150107;230000;62.5591000
USDRUB;60;20150108;000000;62.4738000
USDRUB;60;20150108;010000;62.0383000
USDRUB;60;20150108;020000;62.1046000
USDRUB;60;20150108;030000;62.0547000
USDRUB;60;20150108;040000;61.4141000
USDRUB;60;20150108;050000;62.5150000
USDRUB;60;20150108;060000;62.7755000
USDRUB;60;20150108;070000;62.7919000
USDRUB;60;20150108;080000;62.7966000
USDRUB;60;20150108;090000;62.6700000
USDRUB;60;20150108;100000;62.7859000
USDRUB;60;20150108;110000;59.7900000
USDRUB;60;20150108;120000;61.2850000
USDRUB;60;20150108;130000;61.2300000
USDRUB;60;20150108;140000;61.8929000
USDRUB;60;20150108;150000;60.9338000
USDRUB;60;20150108;160000;61.3960000
USDRUB;60;20150108;170000;61.0576000
USDRUB;60;20150108;180000;61.1172000
USDRUB;60;20150108;190000;61.2179000
USDRUB;60;20150108;200000;61.0084000
USDRUB;60;20150108;210000;60.2347000
USDRUB;60;20150108;220000;59.8321000
USDRUB;60;20150108;230000;60.1819000
USDRUB;60;20150109;000000;60.3094000
USDRUB;60;20150109;010000;60.2002000
USDRUB;60;20150109;020000;60.0820000
USDRUB;60;20150109;030000;59.1579000
USDRUB;60;20150109;040000;61.2095000
USDRUB;60;20150109;050000;58.5332000
